D_CRIA,D_RECRIA,D_ENGORDA,D_CRIA_RECRIA,D_CRIA_ENGORDA,D_RECRIA_ENGORDA,D_CRIA_RECRIA_ENGORDA,PVACAS2ANOS,TX_LOT_UA,RACAO,ADUBPASTAGEM,RECEBEORIENT,PCONFINADOS,PVACASINSEM,P_LAV,P_PAST,P_SILV,PVTP_BOV,UA_BOV
0.293103,0.025862,0.068966,0.456897,0.008621,0.025862,0.12069,0.343223,0.44477,0.077586,0.103448,0.137931,0.001905,0.036145,0.014536,0.961528,0,0.607363,28.839
0.117647,0.088235,0.058824,0.029412,0.617647,0.029412,0.058824,0.270139,0.533336,0.029412,0.088235,0.882353,0,0,0.017626,0.97779,0,0.954144,5.285
0.261364,0.409091,0.056818,0.125,0.011364,0.045455,0.090909,0.311796,0.472732,0.170455,0.045455,0.397727,0.000511,0.042609,0.006485,0.977514,0.00058,0.93576,26.993
0.19403,0.089552,0.119403,0.38806,0.014925,0.014925,0.179104,0.294748,0.39446,0.164179,0.089552,0.552239,0,0.020541,0.024746,0.934535,0.000021,0.535463,12.465
0.27193,0.105263,0.017544,0.315789,0.035088,0.035088,0.219298,0.378793,0.941192,0.263158,0.061404,0.692982,0.012998,0.062236,0.044701,0.945298,0.007,0.736678,41.946
0.353659,0.02439,0.085366,0.47561,0,0.012195,0.04878,0.26304,0.336893,0.012195,0.060976,0.268293,0,0.083602,0.030992,0.929916,0,0.15036,14.515
0.276596,0.06383,0.042553,0.351064,0.021277,0.031915,0.212766,0.468348,0.719289,0.180851,0.095745,0.382979,0.003282,0.071708,0.047564,0.899684,0,0.844018,42.157
0.180124,0.031056,0.049689,0.413043,0.034161,0.021739,0.270186,0.32049,1.161091,0.319876,0.065217,0.47205,0.006714,0.046444,0.008808,0.968285,0.000469,0.920581,119.791
0.375,0.090909,0.05303,0.314394,0.007576,0.045455,0.113636,0.31524,0.586523,0.087121,0.015152,0.200758,0.009553,0.021392,0.032448,0.910072,0,0.325024,63.104
0.390244,0.073171,0.170732,0.121951,0,0.02439,0.219512,0.232448,1.046649,0.097561,0,0.268293,0,0.099773,0.023253,0.97305,0,0.87076,6.147
0.075758,0.030303,0.121212,0.045455,0,0.030303,0.69697,0.281898,0.924202,0.227273,0.060606,0.075758,0.030594,0,0.005792,0.990953,0,0.955729,17.027
0.3,0.05,0.5,0.05,0,0.05,0.05,0.227873,0.947213,0.05,0.05,0.25,0,0.051903,0.038333,0.959974,0,0.511371,3.25
0.302083,0.09375,0.057292,0.395833,0.010417,0.088542,0.052083,0.386873,1.457315,0.020833,0.026042,0.098958,0.002186,0,0.024587,0.861969,0.009702,0.828634,21.933
0.069565,0.017391,0.113043,0.156522,0,0.156522,0.486957,0.221785,0.46125,0.086957,0.008696,0.391304,0.0055,0.021256,0.012414,0.983231,0,0.986425,92.847
0.294118,0.098039,0.529412,0.019608,0.019608,0.019608,0.019608,0.424291,0.570778,0.039216,0.039216,0.137255,0.003473,0,0.035369,0.947621,0,0.23844,6.636
0.338028,0.140845,0.042254,0.253521,0,0.028169,0.197183,0.394808,0.757768,0.084507,0.056338,0.535211,0.001862,0.068861,0.054628,0.925518,0.000186,0.595883,18.225
0.083333,0.166667,0.083333,0.5,0,0.083333,0.083333,0.333988,1.044269,0.083333,0.166667,0.5,0,0,0.003457,0.996543,0,0.707324,1.505
0.372093,0,0.093023,0.139535,0,0,0.395349,0.252091,0.817626,0.046512,0.093023,0.209302,0,0.004062,0.158083,0.841917,0,0.377391,18.633
0.305263,0.105263,0.063158,0.421053,0.010526,0,0.094737,0.4535,0.640933,0.094737,0.094737,0.210526,0.004492,0.108949,0.048964,0.886377,0,0.571519,30.529
0.2,0,0,0.5,0,0.1,0.2,0.263657,1.210367,0.1,0.1,0.3,0,0,0.018734,0.951656,0,0.865003,1.451
0.527273,0.090909,0.127273,0.109091,0,0.036364,0.109091,0.233381,0.523024,0.145455,0.090909,0.145455,0.029388,0,0.318851,0.589211,0,0.045864,6.724
0.239583,0.083333,0.072917,0.28125,0.104167,0.0625,0.15625,0.310124,0.734829,0.21875,0.104167,0.583333,0.010979,0.079622,0.026695,0.96992,0,0.815023,34.599
0.058824,0.058824,0.058824,0,0,0.176471,0.647059,0.180588,2.393886,0.411765,0.176471,0.235294,0.004424,0.276008,0.001248,0.997721,0,0.997387,23.159
0.142857,0.285714,0.142857,0,0,0.428571,0,0.273349,1.613804,0,0,0.714286,0,0,0.001342,0.794631,0,0.946948,1.156
0.142857,0.142857,0.114286,0.2,0,0.285714,0.114286,0.33879,0.466697,0.342857,0.171429,0.514286,0.001805,0.152571,0.053759,0.905908,0,0.840546,28.919
0.15873,0.063492,0.111111,0.396825,0.031746,0.015873,0.222222,0.358808,0.490408,0.126984,0,0.15873,0,0,0.031206,0.867409,0,0.885911,6.232
0.073171,0.02439,0.073171,0.219512,0,0.073171,0.536585,0.329605,0.912474,0.02439,0,0.219512,0,0,0.000208,0.812227,0,0.906846,6.49
0.4375,0.0625,0.40625,0.03125,0.03125,0,0.03125,0.379993,0.634529,0.4375,0.03125,0.1875,0.048268,0,0.135801,0.857405,0,0.053889,5.426
0.045455,0.272727,0.045455,0.454545,0,0.045455,0.136364,0.428325,121.25,0.954545,0.045455,0.727273,0,0,0.027596,0.016586,0,0.970843,1.94
0.194805,0.025974,0.064935,0.519481,0.077922,0.025974,0.090909,0.365733,0.678113,0.298701,0.012987,0.233766,0.003334,0.031758,0.005876,0.953861,0,0.90963,12.219
0.07563,0.042017,0.033613,0.462185,0,0.02521,0.361345,0.518611,0.597061,0.016807,0.109244,0.445378,0.006412,0,0.011439,0.957372,0.000048,0.826666,23.818
0.380952,0.095238,0.238095,0.190476,0.047619,0.047619,0,0.413107,0.384395,0.190476,0.047619,0.380952,0,0.027624,0.000167,0.946038,0,0.973257,7.927
0.257143,0.057143,0.014286,0.314286,0.028571,0.014286,0.314286,0.408354,0.492991,0.428571,0.057143,0.185714,0.002669,0.013399,0.046303,0.865459,0.015635,0.939776,10.566
0.297872,0.099291,0.085106,0.404255,0.014184,0.014184,0.085106,0.386068,0.430701,0.056738,0.070922,0.170213,0.00108,0.072366,0.003066,0.986317,0,0.866811,36.214
0.361765,0.035294,0.023529,0.188235,0.094118,0.011765,0.285294,0.418653,0.733282,0.158824,0.029412,0.485294,0.000666,0.029944,0.02757,0.930727,0.000755,0.52514,61.244
0.275862,0.197044,0.147783,0.211823,0.024631,0.039409,0.103448,0.217089,1.168647,0.103448,0.093596,0.418719,0.008512,0.02314,0.056156,0.920842,0.005799,0.326257,104.26
0.328125,0.015625,0.046875,0.53125,0.03125,0,0.046875,0.401917,0.464298,0.46875,0.15625,0.078125,0.017859,0,0.023612,0.969719,0,0.426181,7.026
0.159236,0.11465,0.044586,0.56051,0.006369,0.044586,0.070064,0.282097,0.953821,0.10828,0.050955,0.343949,0.010977,0.05597,0.020573,0.964519,0.003681,0.805388,41.43
0.225641,0.271795,0.169231,0.030769,0.035897,0.051282,0.215385,0.512524,0.720134,0.117949,0.010256,0.215385,0.000434,0.008475,0.023297,0.850081,0.000229,0.801605,23.954
0.167832,0.038462,0.083916,0.440559,0.055944,0.006993,0.206294,0.486817,0.641307,0.038462,0.024476,0.454545,0.00501,0.037284,0.045669,0.935533,0.000099,0.464406,73.455
0.58952,0.078603,0.052402,0.213974,0.004367,0.034934,0.026201,0.445987,0.634753,0.065502,0,0.048035,0.000336,0,0.015144,0.915842,0.001577,0.673511,35.687
0.254098,0.131148,0.139344,0.090164,0.07377,0.065574,0.245902,0.160376,0.508943,0.131148,0.008197,0.106557,0.001766,0,0.049909,0.810005,0.003457,0.763158,18.076
0.181818,0.085561,0.069519,0.438503,0.032086,0.032086,0.160428,0.368987,0.440698,0.245989,0.085561,0.454545,0.001247,0.027511,0.014156,0.945057,0,0.879739,33.292
0.777778,0.155556,0,0,0,0.022222,0.044444,0.339755,0.531231,0.022222,0.022222,0.111111,0,0,0.098497,0.883085,0,0.017393,7.399
0.571429,0.055556,0.134921,0.126984,0.007937,0.02381,0.079365,0.436972,0.924519,0.015873,0,0.380952,0,0,0.010988,0.985739,0,0.918856,20.348
0.065789,0.184211,0.171053,0.157895,0.157895,0.039474,0.223684,0.341068,0.814254,0.026316,0,0.144737,0.000215,0,0.033251,0.911292,0,0.931305,12.871
0.360465,0.232558,0.116279,0.116279,0.011628,0.034884,0.127907,0.384902,0.759178,0.069767,0.011628,0.093023,0.038941,0,0.038266,0.782531,0.157232,0.608157,11.713
0.351852,0.117284,0.092593,0.364198,0.006173,0.012346,0.055556,0.303653,0.499002,0.061728,0.037037,0.030864,0.021573,0.006039,0.011491,0.959538,0,0.89313,37.916
0.872247,0.017621,0.004405,0.070485,0,0.004405,0.030837,0.450201,0.772892,0.070485,0.017621,0.136564,0.025777,0.038807,0.08211,0.858562,0,0.325405,46.745
0.375,0,0,0.375,0,0.25,0,0.503214,0.452222,0.125,0.375,0.375,0,0,0.003605,0.95821,0,0.908883,1.714
0.101449,0,0.014493,0.26087,0.014493,0.086957,0.521739,0.358318,0.710584,0.217391,0.101449,0.072464,0,0,0.016642,0.883333,0.077199,0.255933,11.57
0.38961,0.051948,0.220779,0.12987,0,0.012987,0.194805,0.16472,0.595956,0.155844,0,0.038961,0.000531,0.006044,0.008344,0.803689,0,0.954364,10.557
0.0625,0,0.0625,0.0625,0,0,0.8125,0.34652,0.634264,0.1875,0.0625,0.5,0,0.114163,0.024154,0.971393,0,0.059279,4.646
0.313953,0.034884,0.046512,0.406977,0.011628,0.023256,0.162791,0.423388,0.697882,0.081395,0.232558,0.418605,0.002906,0.03398,0.020855,0.978324,0,0.940818,46.435
0.16,0.08,0.16,0.08,0.08,0.04,0.4,0.263236,0.387278,0.2,0.16,0.76,0.037023,0,0.318542,0.532973,0,0.082771,1.885
